cluster,percent_of_cluster_cells_covered_by_mt_summary,cell_count_weighted_average_mt_percentage,datasets_with_high_mt_percentage,total_datasets_evaluated_for_mt,percent_of_covered_cluster_cells_from_high_mt_datasets
0,73.585068,0.063538,0,33,0.0
1,99.984171,0.001228,0,27,0.0
2,99.271096,0.001675,0,22,0.0
3,17.484416,2.778743,4,36,0.460035
4,98.189563,0.006254,0,12,0.0
5,99.822218,6.755578,16,42,9.655836
6,99.943971,3.653533,2,40,0.22424
7,99.832597,4.224978,1,47,0.413857
8,99.417811,3.172993,2,54,0.06405
9,99.861455,7.270419,3,53,16.933187
10,99.896725,3.599821,2,54,0.09009
11,8.400025,2.148007,3,42,0.812408
12,96.021505,0.012335,0,5,0.0
13,98.963827,3.242271,1,30,0.012539
14,97.565498,0.006741,0,9,0.0
15,99.988115,0.000923,0,12,0.0
16,99.928401,5.59713,7,51,8.526391
17,99.986514,5.976272,2,18,0.026976
18,100.0,0.629995,0,1,0.0
19,100.0,0.241055,0,15,0.0
20,99.927937,4.785505,1,20,0.144231
21,99.901064,3.268943,0,4,0.0
22,100.0,0.753018,0,8,0.0
23,100.0,5.956715,1,4,0.108108
24,100.0,19.161926,6,7,89.927536
25,100.0,0.004489,0,14,0.0
