cluster,pathway_rank,pathway
0,1,Leukocyte mediated immunity
0,2,Cell activation involved in immune response
0,3,Leukocyte mediated cytotoxicity
0,4,Regulation of hemopoiesis
0,5,Lymphocyte mediated immunity
0,6,Lymphocyte activation involved in immune response
0,7,T cell differentiation
0,8,T cell activation involved in immune response
0,9,Granzyme mediated programmed cell death signaling pathway
0,10,Response to calcium ion
0,11,Regulation of leukocyte differentiation
0,12,Alpha beta t cell activation
0,13,Lymphocyte differentiation
0,14,Negative regulation by host of viral transcription
0,15,Myeloid cell differentiation
0,16,Regulation of leukocyte migration
0,17,Macrophage activation
0,18,Myeloid leukocyte migration
0,19,Cellular response to calcium ion
0,20,Myeloid leukocyte activation
0,21,Response to metal ion
0,22,Tumor necrosis factor superfamily cytokine production
0,23,Natural killer cell mediated immunity
0,24,Response to chemokine
0,25,Regulation of chemotaxis
0,26,T cell differentiation involved in immune response
0,27,Eosinophil migration
0,28,Glial cell activation
0,29,Response to ketone
0,30,Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
0,31,Leukocyte chemotaxis
0,32,Mononuclear cell migration
0,33,Regulation of immune effector process
0,34,Cell chemotaxis
0,35,Osteoclast differentiation
0,36,Positive regulation of tumor necrosis factor superfamily cytokine production
0,37,Natural killer cell chemotaxis
0,38,Myeloid leukocyte differentiation
0,39,Cellular response to metal ion
0,40,Myeloid leukocyte mediated immunity
0,41,Response to steroid hormone
0,42,Regulation of leukocyte chemotaxis
0,43,Cd4 positive alpha beta t cell activation
0,44,Alpha beta t cell differentiation
0,45,Positive regulation of chemotaxis
0,46,Neuroinflammatory response
0,47,Positive regulation of cytokine production involved in immune response
0,48,Granulocyte migration
0,49,Regulation of mononuclear cell migration
0,50,Regulation of natural killer cell activation
0,51,Positive regulation of cell activation
0,52,Positive regulation of leukocyte migration
0,53,Regulation of lymphocyte differentiation
0,54,Regulation of myeloid cell differentiation
0,55,Response to mechanical stimulus
0,56,Positive regulation of leukocyte chemotaxis
0,57,Response to tumor necrosis factor
0,58,Cellular defense response
0,59,Leukocyte activation involved in inflammatory response
0,60,Positive regulation of lymphocyte chemotaxis
0,61,Monocyte chemotaxis
0,62,Cd4 positive alpha beta t cell differentiation
0,63,Natural killer cell activation
0,64,Eosinophil chemotaxis
0,65,Granulocyte activation
0,66,Cellular response to alcohol
0,67,Regulation of cell killing
0,68,Negative regulation of leukocyte apoptotic process
0,69,Response to oxygen levels
0,70,Regulation of neuron apoptotic process
0,71,Lymphocyte migration
0,72,Antimicrobial humoral response
0,73,Cellular response to ketone
0,74,Positive regulation of protein localization to cell surface
0,75,Homeostasis of number of cells
0,76,Response to alcohol
0,77,Positive regulation of immune effector process
0,78,Granulocyte chemotaxis
0,79,Regulation of lymphocyte chemotaxis
0,80,Immune response regulating cell surface receptor signaling pathway
0,81,Negative regulation of cell development
0,82,Negative regulation of hemopoiesis
0,83,Cytokine production involved in immune response
0,84,Regulation of myeloid leukocyte differentiation
0,85,Positive regulation of cell killing
0,86,Regulation of lymphocyte migration
0,87,Antimicrobial humoral immune response mediated by antimicrobial peptide
0,88,Regulation of t helper 17 cell differentiation
0,89,Negative regulation of cytokine production
0,90,Regulation of t cell activation
0,91,Regulation of osteoclast differentiation
0,92,Antigen processing and presentation of exogenous peptide antigen via mhc class ii
0,93,Forebrain development
0,94,Regulation of adaptive immune response
0,95,Regulation of monocyte chemotaxis
0,96,Neuron apoptotic process
0,97,Positive regulation of production of molecular mediator of immune response
0,98,Regulation of alpha beta t cell differentiation
0,99,Leukocyte degranulation
0,100,Response to virus
0,101,Response to corticosteroid
0,102,Positive regulation of myeloid leukocyte cytokine production involved in immune response
0,103,Response to progesterone
0,104,Positive regulation of leukocyte mediated immunity
0,105,Antigen processing and presentation of peptide or polysaccharide antigen via mhc class ii
0,106,Positive regulation of cell development
0,107,Fc gamma receptor signaling pathway
0,108,Negative regulation of lymphocyte apoptotic process
0,109,Regulation of t helper 17 type immune response
0,110,Pyroptotic inflammatory response
0,111,Antigen processing and presentation of exogenous peptide antigen
0,112,T helper 17 cell differentiation
0,113,Positive regulation of mononuclear cell migration
0,114,Regulation of leukocyte apoptotic process
0,115,Regulation of protein localization to cell surface
0,116,Regulation of leukocyte mediated immunity
0,117,Positive regulation of lymphocyte migration
0,118,Myeloid cell activation involved in immune response
0,119,Interleukin 6 production
0,120,Regulation of neurogenesis
0,121,Positive regulation of interleukin 6 production
0,122,Negative regulation of neuron apoptotic process
0,123,Response to phorbol 13 acetate 12 myristate
0,124,Lymphocyte chemotaxis
0,125,Negative regulation of type i interferon production
0,126,Regulation of macrophage migration
0,127,Response to tumor cell
0,128,Positive regulation of nuclear transcribed mrna catabolic process deadenylation dependent decay
0,129,Response to granulocyte macrophage colony stimulating factor
0,130,Type ii hypersensitivity
0,131,Intrinsic apoptotic signaling pathway in response to DNA damage
0,132,Antigen processing and presentation of exogenous antigen
0,133,Regulation of t helper cell differentiation
0,134,Integrated stress response signaling
0,135,Positive t cell selection
0,136,B cell activation
0,137,Fibroblast proliferation
0,138,Myeloid leukocyte cytokine production
0,139,Response to epidermal growth factor
0,140,Natural killer cell degranulation
0,141,B cell mediated immunity
1,1,Leukocyte mediated immunity
1,2,Lymphocyte mediated immunity
1,3,Leukocyte mediated cytotoxicity
1,4,Granzyme mediated programmed cell death signaling pathway
1,5,Natural killer cell mediated immunity
1,6,Eosinophil chemotaxis
1,7,Antimicrobial humoral response
1,8,Positive regulation of cell activation
1,9,Eosinophil migration
1,10,Granulocyte chemotaxis
1,11,Antimicrobial humoral immune response mediated by antimicrobial peptide
1,12,Cell chemotaxis
1,13,Leukocyte chemotaxis
1,14,Granulocyte migration
1,15,Natural killer cell chemotaxis
1,16,Myeloid leukocyte activation
1,17,Response to chemokine
1,18,Adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains
1,19,Negative regulation by host of viral transcription
1,20,Regulation of immune effector process
1,21,Humoral immune response
1,22,Tumor necrosis factor superfamily cytokine production
1,23,Macrophage activation
1,24,Positive regulation of tumor necrosis factor superfamily cytokine production
1,25,Regulation of cell killing
1,26,Regulation of hemopoiesis
1,27,Regulation of inflammatory response
1,28,Myeloid leukocyte mediated immunity
1,29,Granulocyte activation
1,30,Cell activation involved in immune response
1,31,Regulation of chemotaxis
1,32,Negative regulation of leukocyte apoptotic process
1,33,Positive regulation of lymphocyte chemotaxis
1,34,Lymphocyte activation involved in immune response
1,35,Myeloid leukocyte migration
1,36,Positive regulation of protein localization to cell surface
1,37,Positive regulation of chemotaxis
1,38,Positive regulation of cell killing
1,39,Regulation of lymphocyte chemotaxis
1,40,Leukocyte degranulation
1,41,Positive regulation of immune effector process
1,42,Antigen processing and presentation of exogenous peptide antigen via mhc class ii
1,43,Positive regulation of cytokine production involved in immune response
1,44,Lymphocyte differentiation
1,45,Positive regulation of leukocyte chemotaxis
1,46,Regulation of leukocyte apoptotic process
1,47,Positive regulation of myeloid leukocyte cytokine production involved in immune response
1,48,Antigen processing and presentation of peptide or polysaccharide antigen via mhc class ii
1,49,Fc gamma receptor signaling pathway
1,50,Positive regulation of interleukin 6 production
1,51,Negative regulation of lymphocyte apoptotic process
1,52,Response to lipoprotein particle
1,53,T cell differentiation
1,54,Natural killer cell activation
1,55,Antigen processing and presentation of exogenous peptide antigen
1,56,Regulation of protein localization to cell surface
1,57,Regulation of leukocyte differentiation
1,58,Positive regulation of lymphocyte migration
1,59,Regulation of natural killer cell activation
1,60,Cellular response to lipoprotein particle stimulus
1,61,Regulation of myeloid cell differentiation
1,62,Lymphocyte chemotaxis
1,63,Negative regulation of cell activation
1,64,Response to tumor cell
1,65,Leukocyte apoptotic process
1,66,Regulation of leukocyte chemotaxis
1,67,Antigen processing and presentation of exogenous antigen
1,68,Response to molecule of bacterial origin
1,69,Cytokine production involved in immune response
1,70,Response to fibroblast growth factor
1,71,Response to type ii interferon
1,72,Cellular defense response
1,73,Myeloid leukocyte cytokine production
1,74,Immune response regulating cell surface receptor signaling pathway
1,75,Response to tumor necrosis factor
1,76,Protein import
1,77,T cell activation involved in immune response
1,78,Regulation of t cell activation
1,79,Regulation of viral process
1,80,Positive regulation of nuclear transcribed mrna catabolic process deadenylation dependent decay
1,81,Response to granulocyte macrophage colony stimulating factor
1,82,Type ii hypersensitivity
1,83,Regulation of leukocyte mediated immunity
1,84,T cell mediated cytotoxicity
1,85,Positive regulation of production of molecular mediator of immune response
1,86,Fc receptor signaling pathway
1,87,Natural killer cell degranulation
1,88,Negative regulation of long term synaptic potentiation
1,89,Regulation of macrophage activation
1,90,Response to toxic substance
1,91,Positive regulation of leukocyte migration
1,92,Positive regulation of viral process
1,93,Regulation of lymphocyte apoptotic process
1,94,Cellular response to biotic stimulus
1,95,Phospholipid efflux
1,96,Positive regulation of leukocyte mediated immunity
1,97,Leukocyte cell cell adhesion
1,98,Regulation of leukocyte proliferation
1,99,Protein localization to cell surface
1,100,Positive regulation by symbiont of entry into host
1,101,Positive regulation of leukocyte cell cell adhesion
1,102,B cell activation
1,103,Positive regulation of inflammatory response
1,104,Antigen processing and presentation of peptide antigen
1,105,Regulation of lymphocyte migration
1,106,Negative regulation of triglyceride metabolic process
1,107,Myeloid cell differentiation
1,108,Interleukin 6 production
1,109,Negative regulation of lymphocyte activation
1,110,Regulation of endocytosis
1,111,3 utr mediated mrna destabilization
1,112,Neutrophil chemotaxis
2,1,Leukocyte mediated cytotoxicity
