cluster,pathway,go_min_level,go_max_level,selected_gene_count,mapped_selected_gene_count,background_size,pathway_size,overlap_count,overlap_genes,gene_ratio,p_value,adjusted_p_value,significant_fdr_0_05
0,GOBP_NATURAL_KILLER_CELL_MEDIATED_IMMUNITY,5,9,75,74,18000,90,6,NKG7;GZMB;TYROBP;FCGR3A;KLRD1;PIK3R1,0.08108108108108109,1.8611475115462786e-6,4.20295659781364e-4,TRUE
0,GOBP_RESPONSE_TO_CHEMOKINE,6,6,75,74,18000,93,6,CCL5;CCL4;CXCR4;DUSP1;CX3CR1;CCL3,0.08108108108108109,2.256508216175939e-6,4.883459864507428e-4,TRUE
0,GOBP_REGULATION_OF_CHEMOTAXIS,5,6,75,74,18000,215,8,TMSB4X;CD74;CCL5;CCL4;CXCR4;DUSP1;CX3CR1;CCL3,0.10810810810810811,2.7867668874005432e-6,5.789786885263368e-4,TRUE
0,GOBP_T_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE,7,9,75,74,18000,98,6,FCER1G;CD69;TBX21;PIK3R1;JUNB;PTGER4,0.08108108108108109,3.0660647983426373e-6,5.998304149317501e-4,TRUE
0,GOBP_EOSINOPHIL_MIGRATION,6,8,75,74,18000,25,4,CCL5;CCL4;CCL3;PTGER4,0.05405405405405406,3.118101887400318e-6,5.998304149317501e-4,TRUE
0,GOBP_GLIAL_CELL_ACTIVATION,4,4,75,74,18000,57,5,ZEB2;TYROBP;CX3CR1;CCL3;JUN,0.06756756756756757,3.6294687080386206e-6,6.732664453411642e-4,TRUE
0,GOBP_RESPONSE_TO_KETONE,5,5,75,74,18000,226,8,KLF2;TXNIP;DUSP1;GNG2;FOSB;BTG2;FOS;PTGER4,0.10810810810810811,4.033247319101289e-6,7.22368502600417e-4,TRUE
0,GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,5,5,75,74,18000,390,10,B2M;CD74;FCER1G;IL2RB;FCGR3A;PRF1;KLRD1;CD69;TBX21;JUNB,0.13513513513513514,4.2465466939568395e-6,7.352187842803941e-4,TRUE
0,GOBP_MONONUCLEAR_CELL_MIGRATION,4,6,75,74,18000,235,8,CCL5;CCL4;CXCR4;DUSP1;CX3CR1;CCL3;CD69;TBX21,0.10810810810810811,5.378414712714412e-6,9.006646546670005e-4,TRUE
0,GOBP_LEUKOCYTE_CHEMOTAXIS,4,6,75,74,18000,236,8,CD74;CCL5;FCER1G;CCL4;CXCR4;DUSP1;CX3CR1;CCL3,0.10810810810810811,5.548954360674628e-6,9.006646546670005e-4,TRUE
