leiden_0_4,cellxgene_annotation,n_cells,percent_of_cluster,annotation_class
12,"CD16-positive, CD56-dim natural killer cell, human",42,0.27,NK
12,CD56^dim Early Cytokine-Stimulated NK,29,0.18,NK
12,T,3,0.02,T
12,CD56^dim Resting Mature Cytotoxic NK,1,0.01,NK
13,"decidual natural killer cell, human",2259,93.31,NK
13,natural killer cell,133,5.49,NK
13,"CD16-negative, CD56-bright natural killer cell, human",26,1.07,NK
13,T,2,0.08,T
13,"CD16-positive, CD56-dim natural killer cell, human",1,0.04,NK
14,"CD16-negative, CD56-bright natural killer cell, human",2627,49.91,NK
14,natural killer cell,2265,43.04,NK
14,"CD16-positive, CD56-dim natural killer cell, human",322,6.12,NK
14,"decidual natural killer cell, human",40,0.76,NK
14,Proliferative NK,3,0.06,NK
14,CD56^dim Late Cytokine-Stimulated NK,2,0.04,NK
14,T,2,0.04,T
14,CD56^dim Activated Mature Cytotoxic NK,1,0.02,NK
14,CD56^dim Early Cytokine-Stimulated NK,1,0.02,NK
15,natural killer cell,12550,69.96,NK
15,"CD16-positive, CD56-dim natural killer cell, human",3042,16.96,NK
15,"CD16-negative, CD56-bright natural killer cell, human",1743,9.72,NK
15,T,495,2.76,T
15,"decidual natural killer cell, human",47,0.26,NK
15,CD56^dim Late Cytokine-Stimulated NK,21,0.12,NK
15,CD56^dim Early Cytokine-Stimulated NK,19,0.11,NK
15,CD56^dim Resting Mature Cytotoxic NK,8,0.04,NK
15,CD56^bright Transitional Cytotoxic NK,6,0.03,NK
15,Proliferative NK,4,0.02,NK
15,CD56^dim Activated Mature Cytotoxic NK,3,0.02,NK
15,B,1,0.01,B
16,B,9681,65.83,B
16,natural killer cell,5007,34.05,NK
16,T,9,0.06,T
16,CD56^dim Early Cytokine-Stimulated NK,4,0.03,NK
16,"CD16-positive, CD56-dim natural killer cell, human",3,0.02,NK
16,Proliferative NK,2,0.01,NK
16,CD56^bright Transitional Cytotoxic NK,1,0.01,NK
17,natural killer cell,6096,96.52,NK
17,"CD16-negative, CD56-bright natural killer cell, human",213,3.37,NK
17,"CD16-positive, CD56-dim natural killer cell, human",5,0.08,NK
17,B,2,0.03,B
18,"decidual natural killer cell, human",5466,95.39,NK
18,natural killer cell,226,3.94,NK
18,T,36,0.63,T
18,"CD16-positive, CD56-dim natural killer cell, human",2,0.03,NK
19,natural killer cell,1342,96.2,NK
19,B,41,2.94,B
19,"CD16-positive, CD56-dim natural killer cell, human",11,0.79,NK
19,"CD16-negative, CD56-bright natural killer cell, human",1,0.07,NK
20,B,1689,98.25,B
20,natural killer cell,23,1.34,NK
20,CD56^dim Early Cytokine-Stimulated NK,4,0.23,NK
20,T,2,0.12,T
20,CD56^bright Transitional Cytotoxic NK,1,0.06,NK
21,natural killer cell,6251,76.3,NK
21,"CD16-negative, CD56-bright natural killer cell, human",1928,23.53,NK
21,"CD16-positive, CD56-dim natural killer cell, human",11,0.13,NK
21,CD56^dim Resting Mature Cytotoxic NK,2,0.02,NK
21,CD56^dim Late Cytokine-Stimulated NK,1,0.01,NK
22,"CD16-positive, CD56-dim natural killer cell, human",889,95.69,NK
22,CD56^bright Transitional Cytotoxic NK,35,3.77,NK
22,T,2,0.22,T
22,"CD16-negative, CD56-bright natural killer cell, human",1,0.11,NK
22,CD56^dim Early Cytokine-Stimulated NK,1,0.11,NK
22,natural killer cell,1,0.11,NK
23,natural killer cell,4070,99.98,NK
23,"CD16-positive, CD56-dim natural killer cell, human",1,0.02,NK
24,natural killer cell,1113,99.02,NK
24,"CD16-negative, CD56-bright natural killer cell, human",8,0.71,NK
24,B,1,0.09,B
24,CD56^dim Activated Mature Cytotoxic NK,1,0.09,NK
24,"decidual natural killer cell, human",1,0.09,NK
