leiden_0_4,marker_direction,marker_rank,gene,scores,logfoldchanges,pvals_adj,pct_nz_group,pct_nz_reference
18,up,29,FLT1,173.20964,6.5334487,0.0,0.219197207678883,0.0049927760771134
18,up,30,PID1,172.66885,6.489514,0.0,0.1982547993019197,0.0038038712737507
18,up,31,VCAN,169.65532,5.416876,0.0,0.4452006980802792,0.0290860411342339
18,up,32,G0S2,166.99138,5.58095,0.0,0.3958115183246073,0.0233069028249751
18,up,33,GLIS3,165.73389,6.543143,0.0,0.18760907504363,0.0037820278784134
18,up,34,ZFHX3,164.70432,5.6272697,0.0,0.5659685863874345,0.0551202478913322
18,up,35,CD24,160.60367,5.297608,0.0,0.4108202443280977,0.0276787023774975
18,up,36,MGAT5,159.47482,5.6703334,0.0,0.6888307155322863,0.09111816340732
18,up,37,ITGAD,158.36476,5.5349026,0.0,0.6075043630017452,0.0700829736974315
18,up,38,CLNK,157.40929,5.4613986,0.0,0.4677137870855148,0.0394210876138587
18,up,39,RASSF8,157.13724,5.817052,0.0,0.3048865619546247,0.0149814487163884
18,up,40,HBA1,156.18971,5.134955,0.0,0.5200698080279232,0.0484330484330484
18,up,41,ENSG00000224228.2,155.82552,6.704986,0.0,0.1582897033158813,0.0029238944901595
18,up,42,LCN2,150.67314,6.343096,0.0,0.1541012216404886,0.0030580753472319
18,up,43,IGFBP3,147.5153,5.7435546,0.0,0.2061082024432809,0.0069711635976696
18,up,44,PTPN14,147.08597,5.8514276,0.0,0.2336823734729494,0.0095362023072866
18,up,45,ITGA1,146.0361,5.175875,0.0,0.5225130890052356,0.0593048183409629
18,up,46,ATP8B4,145.83315,5.3923135,0.0,0.7520069808027923,0.1407994058596468
18,up,47,DRAIC,143.99782,6.3323803,0.0,0.1478184991273996,0.0031984971744007
18,up,48,DCN,142.41536,5.227756,0.0,0.2959860383944153,0.0176744273129815
18,up,49,EFNA5,139.52046,5.367259,0.0,0.2966841186736474,0.0187291512592717
18,up,50,NCAM1,136.17831,5.427945,0.0,0.849738219895288,0.2366794294505138
18,down,1,B2M,-113.29158,-2.4900799,0.0,0.9776614310645724,0.9909568343303284
18,down,2,NKG7,-105.45495,-4.638197,0.0,0.4870855148342059,0.9052371100563872
