parent_cluster,child_cluster,child_annotation,child_free_label,flow_cells,parent_fraction,child_fraction,gene,parent_selected_mass50,child_selected_mass50,parent_rank,child_rank,parent_mean_abs_attr,child_mean_abs_attr,parent_attribution_share,child_attribution_share,log2_child_parent_attribution_change,gene_status,taxonomy_tier,taxonomy_categories,displayed_in_parent_heatmap,n_sibling_children_selected,child_selection_scope
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,DUSP2,True,False,69,68,2.5064895,2.3603795,0.0025064896601041825,0.002360379402762157,-0.08664950841798766,parent_not_retained,not_in_taxonomy,,False,1,child_exclusive
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,FCER1G,True,True,12,12,8.044108,9.829233,0.008044108513824349,0.009829232595076379,0.28914624082088203,inherited_stable,support,NK1; adaptive_NK_CMV,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,FCGR3A,True,True,35,34,4.3723454,4.817073,0.0043723456792873405,0.004817072801556577,0.13974926232011767,inherited_stable,core,Cytotoxic_activated; NK1; adaptive_NK_CMV; adaptive_NK_nonCMV; cNK,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,FGFBP2,True,True,23,27,5.7276483,5.56684,0.005727648665858484,0.005566839770669288,-0.0410844413778005,inherited_stable,core,NK1; adaptive_NK_CMV,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,FOS,True,False,40,47,3.8106213,3.6396368,0.003810621543406728,0.0036396366500620636,-0.06623190082364733,parent_not_retained,not_in_taxonomy,,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,FTH1,True,True,5,2,25.044085,38.478603,0.025044086599712568,0.03847860141484119,0.6195863672535851,inherited_stable,not_in_taxonomy,,True,4,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,GIMAP7,True,True,50,41,3.199612,4.079032,0.0031996122043779812,0.004079031831960804,0.3503297056985016,inherited_stable,not_in_taxonomy,,False,2,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,GNLY,True,True,6,4,24.254858,27.416086,0.024254859549300012,0.027416084870570998,0.17674873759032908,inherited_stable,core,Cytotoxic_activated; Homeostatic_quiescent; NK1,True,4,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,GZMA,True,True,9,8,9.791431,12.267926,0.009791431625436114,0.012267925494612345,0.32529959017479887,inherited_stable,support,Chemokine_inflammatory; Cytotoxic_activated; NK1,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,GZMB,True,True,11,19,8.213604,7.2007422,0.008213604524651053,0.007200741903359295,-0.18986992763257818,inherited_stable,core,CIML_cytokine_preactivated; CIMP_cytokine_primed_memory_like; Cytotoxic_activated; NK1,False,4,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,GZMH,True,True,42,37,3.6440282,4.5331116,0.00364402843276545,0.004533111413254609,0.31496740374053667,inherited_stable,support,NK1; adaptive_NK_CMV; adaptive_NK_nonCMV,False,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,HMGB2,True,False,64,50,2.6705341,3.394769,0.002670534270582673,0.003394768860149601,0.3461849505795769,parent_not_retained,not_in_taxonomy,,False,0,not_selected_in_children
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,HSP90AA1,True,False,24,49,5.430025,3.404717,0.005430025346847538,0.003404716859739785,-0.6734241052434468,parent_not_retained,not_in_taxonomy,,True,3,sibling_shared
0,1,NK1_Cytotoxic_activated,NK1_cytotoxic_activated_lung,31564,0.566444735567001,0.9992402178042294,ID2,True,False,61,51,2.8687358,3.3742416,0.002868735983242978,0.0033742414609952446,0.2341480171406172,parent_not_retained,support,CIMP_cytokine_primed_memory_like; L6_Developmental_immature,False,1,child_exclusive
