leiden_resolution	cluster	dataset_id	n_cells	cluster_percentage	median_mt_percentage
leiden_0_5	0	01ad3cd7-3929-4654-84c0-6db05bd5fd59	1	0.011689	0.960961
leiden_0_5	0	093d3bfe-6f0f-4ac0-a7a1-829f94d0a49f	3	0.035067	0.414250
leiden_0_5	0	19e46756-9100-4e01-8b0e-23b557558a4c	246	2.875511	0.000000
leiden_0_5	0	1b9d8702-5af8-4142-85ed-020eb06ec4f6	5	0.058445	0.594845
leiden_0_5	0	1e6a6ef9-7ec9-4c90-bbfb-2ad3c3165fd1	7713	90.157802	0.000000
leiden_0_5	0	242c6e7f-9016-4048-af70-d631f5eea188	12	0.140269	1.208116
leiden_0_5	0	29244e1d-02e6-4133-b411-516ef7474638	1	0.011689	1.339286
leiden_0_5	0	2a498ace-872a-4935-984b-1afa70fd9886	79	0.923437	1.017935
leiden_0_5	0	2f132ec9-24b5-422f-9be0-ccef03b4fe28	1	0.011689	0.700935
leiden_0_5	0	30cd5311-6c09-46c9-94f1-71fe4b91813c	3	0.035067	1.172953
leiden_0_5	0	350237e0-9f48-4cbd-9140-3b44495549f3	52	0.607832	0.000000
leiden_0_5	0	3c75a463-6a87-4132-83a8-c3002624394d	1	0.011689	1.757812
leiden_0_5	0	3dc61ca1-ce40-46b6-8337-f27260fd9a03	10	0.116891	0.000000
leiden_0_5	0	53d208b0-2cfd-4366-9866-c3c6114081bc	16	0.187025	2.349654
leiden_0_5	0	576f193c-75d0-4a11-bd25-8676587e6dc2	56	0.654588	0.000000
leiden_0_5	0	5af90777-6760-4003-9dba-8f945fec6fdf	5	0.058445	1.016746
leiden_0_5	0	5bc42b88-bb76-4954-927b-8bb7369adc64	7	0.081823	0.000000
leiden_0_5	0	5e717147-0f75-4de1-8bd2-6fda01b8d75f	1	0.011689	2.318649
leiden_0_5	0	644a578d-ffdc-446b-9679-e7ab4c919c13	3	0.035067	1.143168
leiden_0_5	0	8c42cfd0-0b0a-46d5-910c-fc833d83c45e	7	0.081823	0.000000
leiden_0_5	0	9dbab10c-118d-496b-966a-67f1763a6b7d	7	0.081823	1.413665
leiden_0_5	0	9f222629-9e39-47d0-b83f-e08d610c7479	64	0.748101	1.090247
leiden_0_5	0	a199ca73-035d-44e2-9893-4c493151db21	1	0.011689	1.249375
leiden_0_5	0	b0e547f0-462b-4f81-b31b-5b0a5d96f537	21	0.245470	1.767933
leiden_0_5	0	bd65a70f-b274-4133-b9dd-0d1431b6af34	1	0.011689	0.000000
leiden_0_5	0	c2a461b1-0c15-4047-9fcb-1f966fe55100	7	0.081823	1.395520
leiden_0_5	0	c7775e88-49bf-4ba2-a03b-93f00447c958	198	2.314436	1.033825
leiden_0_5	0	cd2f23c1-aef1-48ae-8eb4-0bcf124e567d	3	0.035067	0.000000
leiden_0_5	0	de2c780c-1747-40bd-9ccf-9588ec186cee	2	0.023378	0.911790
leiden_0_5	0	dea717d4-7bc0-4e46-950f-fd7e1cc8df7d	8	0.093513	2.628879
leiden_0_5	0	e84f2780-51e8-4cfa-8aa0-13bbfef677c7	1	0.011689	1.418021
leiden_0_5	0	ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3	16	0.187025	1.660972
